IFR;PERC_D;PERC_K;MFI;UO;SUPRES;FUT
37,31 ;41,34 ;10,42 ;49,59 ;31,81 ;44,38 ;3
32,99 ;32,42 ;6,46 ;48,59 ;30,20 ;33,35 ;1
36,24 ;23,10 ;5,14 ;40,99 ;32,08 ;33,90 ;1
42,77 ;16,84 ;16,66 ;40,29 ;35,78 ;44,38 ;3
40,12 ;14,49 ;25,60 ;29,02 ;38,83 ;38,10 ;2
40,98 ;15,11 ;31,43 ;27,79 ;41,41 ;39,46 ;2
38,40 ;16,25 ;26,61 ;21,75 ;38,57 ;33,52 ;1
43,97 ;18,29 ;31,63 ;20,84 ;47,40 ;42,25 ;1
45,53 ;21,23 ;37,13 ;26,66 ;53,02 ;44,81 ;2
50,63 ;26,81 ;60,58 ;32,52 ;55,06 ;53,66 ;2
53,25 ;34,94 ;79,69 ;31,77 ;57,03 ;58,57 ;2
50,67 ;44,59 ;91,96 ;32,35 ;61,48 ;54,20 ;3
48,77 ;52,28 ;85,90 ;38,72 ;57,78 ;50,93 ;3
48,41 ;57,95 ;76,60 ;33,23 ;62,52 ;50,32 ;3
43,38 ;61,06 ;59,42 ;34,73 ;57,60 ;41,54 ;3
33,39 ;62,14 ;36,34 ;32,00 ;48,56 ;18,07 ;3
32,49 ;60,72 ;18,89 ;32,09 ;45,98 ;15,45 ;3
28,08 ;57,47 ;7,85 ;25,14 ;34,73 ;1,26 ;1
33,85 ;52,05 ;11,77 ;28,49 ;35,62 ;9,72 ;1
38,47 ;44,90 ;15,36 ;34,84 ;37,42 ;17,08 ;1
42,19 ;37,90 ;28,93 ;39,81 ;41,44 ;23,37 ;1
47,62 ;33,26 ;44,13 ;39,80 ;45,86 ;33,40 ;2
45,09 ;30,46 ;51,41 ;32,98 ;48,98 ;27,84 ;2
45,49 ;30,73 ;61,92 ;26,74 ;46,42 ;28,55 ;2
49,88 ;34,81 ;73,04 ;30,28 ;57,92 ;36,52 ;2
46,66 ;41,83 ;82,05 ;29,24 ;53,87 ;30,18 ;1
49,10 ;50,73 ;87,97 ;24,62 ;58,00 ;34,55 ;1
49,10 ;58,71 ;83,57 ;30,62 ;52,67 ;34,55 ;1
55,32 ;67,00 ;89,96 ;37,56 ;55,51 ;45,96 ;1
57,07 ;73,55 ;87,93 ;50,27 ;61,64 ;49,51 ;1
57,92 ;78,12 ;85,23 ;62,17 ;57,06 ;51,20 ;1
63,83 ;81,96 ;85,96 ;70,74 ;62,32 ;64,26 ;1
68,62 ;84,97 ;88,99 ;78,38 ;68,06 ;77,43 ;2
67,23 ;87,32 ;94,20 ;72,90 ;67,58 ;75,52 ;2
68,40 ;88,15 ;89,56 ;74,03 ;64,38 ;78,74 ;2
65,22 ;87,76 ;84,42 ;67,20 ;58,14 ;74,64 ;2
66,86 ;87,61 ;82,29 ;66,36 ;62,04 ;78,69 ;2
65,96 ;86,46 ;79,56 ;71,00 ;66,51 ;77,59 ;2
61,95 ;84,99 ;74,71 ;64,68 ;60,87 ;72,73 ;2
61,95 ;82,83 ;65,79 ;65,12 ;62,12 ;72,73 ;3
55,03 ;77,80 ;40,66 ;63,50 ;51,04 ;64,04 ;2
55,33 ;70,89 ;26,82 ;57,16 ;55,82 ;64,53 ;1
58,23 ;62,79 ;21,32 ;56,36 ;60,14 ;69,21 ;1
61,00 ;57,55 ;42,37 ;55,49 ;58,89 ;73,97 ;1
68,44 ;55,73 ;68,03 ;54,52 ;63,94 ;89,69 ;3
64,25 ;55,55 ;80,74 ;52,99 ;61,86 ;84,71 ;1
62,21 ;55,89 ;82,57 ;43,07 ;60,12 ;82,22 ;1
